,aspects,frequency,emotions
257,makeup hair victor,1,Surprise
258,accidentally midst traitor,1,
259,non chivalrous group,1,Surprise
260,strangely anachronistic dull,1,Surprise
261,rather dumb janet,1,Fear
262,quite plum role,1,
263,simply fit play,1,Happy
264,historically inaccurate lot,1,Sad
265,mean untouchable highway,1,
266,supposedly ha year,1,
267,truly great skip,1,Happy
268,short tired run,1,Angry
269,meanwhile detective jack,1,Sad
270,slightly side nothing,1,
271,pretty similar time,1,Happy
272,piece fight bit,1,Sad
273,apparently near weekend,1,
274,partly shot los,1,
275,right worth watch,1,Fear
276,basically side stage,1,Fear
277,probably beat history,1,Fear
278,nash ten year,1,
279,often distinguishing feature,1,
280,sexually violent man,1,
281,currently popular osbournes,1,
282,even single track,1,
283,virtually prisoner fact,1,
284,really amazing battle,1,Surprise
285,perfectly nostalgic tone,1,Sad
286,particularly close ups,2,Happy
287,ever visible tongue,2,Surprise
288,usually open mouth,2,Sad
289,ever imagine threat,1,Surprise
290,character good thing,1,Happy
291,back chaos boyfriend,1,Fear
292,pretty direct continuation,1,Happy
293,sarandon horrible performance,1,Fear
294,pretty good movie,4,Happy
295,still follow presentation,1,
296,gently ironic nature,1,Sad
297,away existential proposition,1,Angry
298,clearly evolutionist zealot,1,
299,even wa time,1,
300,entertainingly numerous others,1,Surprise
301,obviously afraid challenge,1,Fear
302,grotesquely lame suspicion,1,Fear
303,probably famous death,1,Fear
304,else tony randall,1,
305,enough humorous situation,1,Happy
306,definitely average network,1,Fear
307,amelita ward female,1,Surprise
308,interestingly entry policeman,1,
309,reasonably fair viewer,1,
310,fast hear word,1,Angry
311,excuse soft porn,1,Surprise
312,even late example,1,Sad
313,away tv aquarium,1,Angry
314,also first time,1,Surprise
315,still great comedy,1,Happy
316,absolutely suspense thrill,1,Surprise
317,well captured attention,1,Happy
318,back body criminal,1,Sad
319,zack ward dorien,1,Surprise
320,probably drunkard rock,1,Fear
321,silly dual role,1,Fear
322,reasonably accurate deer,1,
323,mostly white yes,1,Sad
324,alone middle fact,1,Sad
325,writer spent time,1,
326,also butchered life,1,Fear
327,agree many reviewer,1,
328,pretty clever lady,1,Happy
329,well pull wool,1,Angry
330,completely different opinion,1,
331,ever glue submarine,1,Surprise
332,definitely low budget,1,Sad
333,steadily last day,1,Happy
334,meanwhile bottle start,1,
335,exactly limited create,1,Surprise
336,away fail see,1,Angry
337,terminally charmless look,1,Sad
338,completely sans type,1,Fear
339,even worth theater,1,Fear
340,character unable think,1,Surprise
341,unbearably fake ingredient,1,Sad
342,thunk much movie,1,
343,rightly point personality,1,Fear
344,far importance creation,1,Fear
345,father civil servant,1,
346,silly main problem,1,Fear
347,quite ironic story,1,
348,always easy kicker,1,Surprise
349,highly successful career,1,
350,also much enjoy,1,Happy
351,sally payne movie,1,Surprise
352,well alison steadman,1,
353,hilariously bad think,1,Happy
354,laughably second hero,1,
355,holly stuck throw,1,Fear
356,unintentionally funny film,1,Surprise
357,however critic love,1,Happy
358,even funny child,1,Surprise
359,extremely rich business,1,Fear
360,make good watch,1,Happy
361,master several time,1,
362,even gory fan,1,
363,even old cogers,1,
364,still supermarket chemist,1,
365,completely free anyone,1,Happy
366,hardly dialogue chemistry,1,Fear
367,well regular people,1,
368,together lobster farm,1,
369,really pick speed,1,Surprise
370,atmosphere beautiful swamp,1,Happy
371,menacingly accurate get,1,
372,billy west film,1,
373,suspiciously little tramp,1,Fear
374,doe good job,8,Happy
375,mainly jumble gag,1,
376,oliver hardy role,1,Fear
377,maybe specific fact,1,
378,longer positive one,1,
379,oddly enough jaceys,1,
380,insight much thing,1,Surprise
381,gang old time,1,
382,degrade beautiful tourist,1,Happy
383,everywhere ha crime,1,Sad
384,provide great example,1,Happy
385,gore mix opinion,1,
386,completely lack imagination,1,Fear
387,really explaining illness,1,Surprise
388,simply ridiculous wa,1,
389,even content meant,1,Fear
390,pretty dull horror,1,Happy
391,deliver good story,1,Happy
392,eventually doe something,1,
393,necessarily bad thing,3,Surprise
394,probably many people,2,Fear
395,travolta devious villain,1,
396,first major event,1,Surprise
397,much serious farrah,1,
398,pretty curly blond,1,Happy
399,either good storyline,1,Happy
400,somehow missed anything,1,Sad
401,hardly noticeable doe,1,Fear
402,still lame nuance,1,
403,instead indulge protagonist,1,Fear
404,south america border,1,
405,especially felipe aljure,1,
406,far apart way,1,Fear
407,lonely unhappy woman,1,Sad
408,mostly ex aussie,1,
409,evoke quasi seriousness,1,Fear
410,enough gusto deal,1,Happy
411,ecstasy induced advert,1,Sad
412,altogether rest mindless,1,Sad
413,pointless awkward dialogue,1,Sad
414,absolutely common sense,2,Fear
415,relatively secure house,1,Fear
416,quite suspenseful happens,1,
417,hallway open door,1,Fear
418,curriculum many college,1,Fear
419,simply elect watch,1,Surprise
420,molly shannon actor,1,
421,also cast anthony,1,
422,really devious side,1,Surprise
423,truly terrible movie,3,Fear
424,dastardly bad case,1,Sad
425,apparently massive take,1,
426,well read people,1,
427,northwest unexpected bonus,1,Happy
428,somewhere southwest woman,1,
429,transport lady location,1,Angry
430,father edmond suffice,1,
431,rather evil machination,1,Fear
432,teacher cicely tyson,1,
433,maybe funny antonio,1,Surprise
434,nevertheless surprising scene,1,Surprise
435,well favorite director,1,Happy
436,fincher top game,1,Surprise
437,best alive nothing,1,Surprise
438,technically brilliant year,1,Happy
439,instead healthy balance,1,Fear
440,obviously transition smooth,1,Angry
441,bother ask question,1,Fear
442,unfortunately count fact,1,Sad
443,best remembered creature,1,Surprise
444,quite hit giddy,1,Angry
445,apart main title,1,Fear
446,pretty cool car,1,Happy
447,truly memorable sequence,1,
448,lack accepted trademark,1,
449,aside bad game,1,Sad
450,earlier move attack,1,
451,essentially title get,1,Fear
452,surprisingly effective intro,1,
453,well worth zoom,1,Fear
454,morally ambiguous hacker,1,
455,use natural resource,1,
456,terribly memorable scenario,1,
457,reasonably finale borne,1,Sad
458,politically provocative material,1,
459,even sherman tank,1,
460,well vast network,1,Fear
461,however acceptance role,1,Surprise
462,anyway strange thing,1,Surprise
463,yet nail let,1,Sad
464,delightfully creepy awkward,1,Sad
465,daughter give impression,1,Fear
466,completely horrendous value,1,
467,fight bad guy,2,Sad
468,ignore dopey reminiscent,1,
469,ultimately true reveals,1,Surprise
470,apart doggy thing,1,Surprise
471,hardly substance work,1,Fear
472,wholly unethical dr,1,
473,far short everything,1,Angry
474,really couple actor,1,Surprise
475,enough give time,1,Fear
476,freely blot image,1,Sad
477,back dead vhs,1,
478,inexplicably posse living,1,
479,actually decent job,1,Surprise
480,absolutely phenomenal opening,1,Fear
481,song gorgeous rest,1,Happy
482,heavily concept romance,1,Sad
483,far dvd jacket,1,Fear
484,better past truly,1,Surprise
485,merely describe surface,1,
486,indeed first shot,1,Surprise
487,nowhere frenzy carnage,1,Fear
488,away constant reminder,1,Angry
489,slick high remains,1,Fear
490,aurally violent time,1,
491,highly unstable substance,1,Sad
492,actually give copy,1,Surprise
493,meanwhile beast chasing,1,
494,little disappointed end,1,Sad
495,fairly pedestrian teen,1,Angry
496,namely portrayal character,1,Fear
497,deliberately understated performance,1,Fear
498,ultimately likable stanley,1,Happy
499,really pass judgment,1,Surprise
500,actually good thing,2,Surprise
501,really good computer,1,Happy
502,lot new space,1,Sad
503,away close legion,1,Happy
504,mostly nude bed,1,
505,haughty romantic notion,1,Happy
506,certainly primary force,1,Fear
507,philosophically buddy dinner,1,
508,highly political film,1,
509,incredibly banal soderbergh,1,Fear
510,quite frankly bomb,1,Sad
511,relentlessly shallow clooney,1,
512,really develops change,1,Surprise
513,pretty interminable sequence,1,Happy
514,enough camp pleasure,1,Happy
515,ever web site,1,Surprise
516,socially relevant sitcom,1,Happy
517,completely unbelievable germophobe,1,Fear
518,away shot scene,1,Angry
519,mean mysterious something,1,Surprise
520,add give star,1,Sad
521,back imagination innocent,1,Sad
522,apparently imdb think,1,Surprise
523,close neighbor care,1,Happy
524,extremely dramatic fitting,1,Happy
525,perhaps u relax,1,Fear
526,first official role,1,Surprise
527,also high standard,1,Fear
528,better dead pool,1,Surprise
529,anyway glad family,1,Happy
530,much big effort,1,
531,better second time,1,Surprise
532,firmly grounded side,1,Surprise
533,pretty depressing stuff,1,Happy
534,relentlessly grim tone,1,
535,decide pick bring,1,Sad
536,around high drug,1,Fear
537,marvelously gory predecessor,1,Surprise
538,youngster fair game,1,
539,memorably graphic mayhem,1,
540,always personal favorite,1,Happy
541,also nifty decapitation,1,Surprise
542,find hard forget,1,Angry
543,quickly short order,1,Angry
544,genuinely great deserves,1,Happy
545,chat futuristic set,1,Fear
546,somewhat type bitchy,1,Surprise
547,tierney luminous actress,1,
548,perfectly femme fatale,1,
549,apparently propaganda film,1,
550,enough drama failure,1,Sad
551,unequivocally liked reason,1,Sad
552,even accomplish task,1,
553,else masterpiece chance,1,Surprise
554,back big deal,1,
555,better many genre,1,Surprise
556,nc good flick,1,Happy
557,anymore play watch,1,Surprise
558,nowhere end place,1,Fear
559,lovely lady distress,1,Happy
560,ever religious brother,1,Surprise
561,regardless major role,1,
562,especially demon knight,1,
563,unfortunately mr barksdale,1,Sad
564,eventually end life,1,Fear
565,stillness unspoiled beauty,1,Happy
566,also vast variety,1,Sad
567,completely different situation,1,Fear
568,slightly disappointing leaf,1,Sad
569,definitely give whirl,1,Fear
570,also old friend,1,Happy
571,back whole fall,1,Fear
572,supply gold dust,1,Angry
573,maybe ringo starr,1,
574,alternately funny poignant,1,Surprise
575,simply fault craftsmanship,1,
576,together laugh performance,1,
577,lot good line,1,Happy
578,far much cram,1,Fear
579,better mini series,2,Surprise
580,solely boy meet,1,
581,rather unfriendly storm,1,Sad
582,aside ivory v,1,
583,obviously kane ha,1,
584,aggravatingly dumb movie,1,
585,pretty bad thanks,1,Happy
586,mostly flat direction,1,Sad
587,uniformly joe sagal,1,
588,first category kid,1,Happy
589,invariably march part,1,
590,quite thrilled film,1,Surprise
591,slightly average mass,1,Fear
592,give good fright,1,Happy
593,really important plot,1,Happy
594,likely learn rolligon,1,Fear
595,arthur good colorful,1,Happy
596,fortunately inspired handful,1,Happy
597,paradoxically right schlock,1,Surprise
598,far special effect,1,Surprise
599,unspeakably terrible dialogue,1,Fear
600,absurdly melodramatic score,1,Angry
601,well wa okay,1,
602,sometimes funny boring,1,Surprise
603,also good thing,2,Happy
604,burke little men,1,
605,yet ha min,1,
606,definitely top list,2,Surprise
607,notice high school,1,Fear
608,put much danger,1,Sad
609,ever strange claim,1,Surprise
610,together mess embarrassment,1,Angry
611,certainly pleased society,1,Sad
612,yet egotistic hypnotist,1,
613,hopelessly miscast genius,1,Surprise
614,praise much otto,1,
615,back finish everybody,1,
616,apparently found life,1,Fear
617,meanwhile old boyfriend,1,
618,amazingly hard enjoy,1,Happy
619,mid glorious duo,1,
620,pretty trashy joke,1,Happy
621,song good guy,1,Happy
622,obviously le heart,1,Sad
623,otherwise robin williams,1,
624,orbach different role,1,
625,really important people,1,Happy
626,langly lone gunman,1,Sad
627,vulgar low standard,1,Sad
628,mile hawaii afternoon,1,
629,thus change course,1,
630,later eagle plot,1,
631,basically combination dozen,1,Fear
632,even full female,1,
633,apparently new material,1,
634,else overall adventure,1,Fear
635,even dare admit,1,Sad
636,well horrid quality,1,Fear
637,not good conscience,2,Sad
638,pretty much sum,6,Happy
639,already tried press,1,Fear
640,never real gem,1,Sad
641,slightly overall effect,1,Surprise
642,quite effective moody,1,Sad
643,formerly silent play,1,Fear
644,certainly innovative world,1,
645,really efficient sequence,1,Surprise
646,surprisingly ok tv,1,
647,however total disaster,1,Surprise
648,lighthouse awful music,1,
649,completely identical kind,1,Happy
650,best known day,1,Happy
651,hilariously laughable narrator,1,Happy
652,kindly cast pause,1,Happy
653,particularly superb comment,1,Happy
654,resoundingly positive note,1,
655,really shame fall,1,Surprise
656,art bunch sheep,1,
657,well intentioned jesuit,1,
658,regardless gentle soul,1,Surprise
659,particularly want invasion,1,
660,openly hostile transforms,1,Angry
661,perhaps name people,1,
662,silly scientist kenneth,1,Fear
663,obviously small effect,1,Surprise
664,obviously fancy horror,1,Surprise
665,extremely fake blood,1,Sad
666,rather loud moggy,1,Fear
667,anyway repeat distance,1,
668,keenly aware circumstance,1,Sad
669,first launch self,1,Surprise
670,constantly draw attention,1,Fear
671,finally available dvd,2,Fear
672,apparently dental computer,1,
673,pretty poor job,1,Happy
674,overly suspicious everyone,1,Fear
675,well atmosphere time,1,
676,well proud memory,1,Happy
677,better many horror,1,Surprise
678,probably mumble line,1,Fear
679,buffoon many people,1,
680,away broadbent performance,1,Angry
681,indeed depict longford,1,
682,detractor depicted simple,1,Fear
683,hear peep talk,1,
684,better justify bleatings,1,Surprise
685,still sunny listen,1,Happy
686,wilfully ignorant behaviour,1,
687,inside light speak,1,Fear
688,unfortunately neil labute,1,Sad
689,always great jeremy,1,Happy
690,sadly modern day,1,Happy
691,occasionally cohort aaron,1,Fear
692,positively disastrous choice,1,Angry
693,inexplicably english scholar,1,
694,lester hard day,1,Happy
695,perfectly pomposity sheer,1,Fear
696,potentially silly premise,1,Fear
697,especially weird richardson,1,
698,essentially quarry landmark,1,
699,never light minute,1,
700,frequently entertaining thriller,1,
701,easily future head,1,Fear
702,incredibly last summer,1,Happy
703,typically wooden presence,1,
704,somewhat effective performance,1,Surprise
705,rather likable problem,1,Fear
706,normally bail unexciting,1,
707,deadly dull subplot,1,Sad
708,seemingly endless stock,1,Fear
709,back high zero,1,Fear
710,banter holden mitchum,1,Happy
711,also gary gray,1,Fear
712,definitely worth time,1,Fear
713,certainly immense detriment,1,
714,maybe ample reason,1,Sad
715,inevitably recall issue,1,
716,still moral connotation,1,
717,really sucked thank,1,Surprise
718,completely unfinished feel,1,
719,even slow bit,1,
720,almost whole tension,1,Fear
721,particularly daring film,1,Fear
722,particularly original premise,1,
723,however sam jackson,1,Surprise
724,pretty hard sit,1,Happy
725,seriously played clancy,1,Fear
726,alone dark house,1,Sad
727,best limited budget,1,Surprise
728,fairly amusing tunnel,1,
729,doe give sense,1,Fear
730,enough watched others,1,Surprise
731,sure uttered aloud,1,Fear
732,billy crystal movie,2,
733,relatively nonboozing family,1,Surprise
734,laughably bad dialog,1,Sad
735,noise positive thing,1,Surprise
736,lucy new television,1,
737,far third rate,1,Fear
738,willingly menial support,1,
739,back precious memory,1,Angry
740,totally unexpected impact,1,Happy
741,really bad movie,8,Surprise
742,also freaky scrawny,1,
743,le idiotic imdb,1,
744,surprisingly intriguing horror,1,Surprise
745,lsd ten year,1,
746,name bad batch,1,Sad
747,beaten good movie,1,Happy
748,presumably actual archbishop,1,
749,really good kung,1,Happy
750,quite memorable plot,1,
751,yet resolute portrayal,1,Fear
752,ago fear opportunity,1,Happy
753,quite raw blunt,1,Sad
754,earlier lacking term,1,
755,else reject paris,1,
756,eventually child decides,1,Fear
757,anyway poor excuse,1,Sad
758,absolutely fabulous pass,1,Happy
759,truly great director,1,Happy
760,yet realistic glimpse,1,
761,surprisingly scene stealer,1,
762,sadly end everything,1,Sad
763,painfully slow let,1,Sad
764,mo good sign,1,Happy
765,back roshan role,1,
766,suddenly close step,1,Happy
767,somewhat girly bury,1,Surprise
768,even light part,1,
769,truly great moment,1,Happy
770,quite atmospheric moody,1,Sad
771,score le baxter,1,Angry
772,loudly monster sight,1,
773,simply impossible watch,1,Surprise
774,better similar worse,1,Surprise
775,also parallel drawn,1,Fear
776,really bizarre swat,1,Surprise
777,however corny situation,1,Surprise
778,mildly entertaining fan,1,
779,back low budget,1,Sad
780,photo shoot scene,1,
781,heavily blade look,1,Sad
782,wa forgettable way,1,
783,back prehistoric preliterate,1,
784,bard oral tradition,1,
785,yes great movie,1,Happy
786,completely forgettable dull,1,Sad
787,pas bad currency,1,Sad
788,simply flourish belief,1,
789,nearly sink enterprise,1,Sad
790,long unfunny sequence,1,Fear
791,largely script adheres,1,Fear
792,certainly rich quasi,1,Fear
793,foster devious brother,1,Surprise
794,much narrative action,1,Fear
795,tremendously actress work,1,Surprise
796,essentially different interpretation,1,
797,away emblem family,1,Angry
798,notably unforgiving maham,1,
799,emotionally naked question,1,Fear
800,non native hindi,1,
801,sometimes confusion line,1,Fear
802,appallingly bad movie,1,Sad
803,atmosphere excellent use,1,Happy
804,nicely ie caroon,1,
805,however suffice care,1,Surprise
806,late early fact,1,Sad
807,even ava gardner,1,
808,indeed soundtrack show,1,
809,perhaps comparison predeccesors,1,
810,first episode excitement,1,Surprise
811,especially enjoy quince,1,Happy
812,maybe tough love,1,Happy
813,sometimes good thing,1,Happy
814,almost funny moment,1,Surprise
815,almost total absence,1,
816,genuinely funny film,1,Surprise
817,together approximation narrative,1,
818,porter much hilarity,1,Happy
819,close uncomfortable nowadays,1,Happy
820,thankfully poor reason,1,Sad
821,sally inability convey,1,Surprise
822,late early wa,1,Sad
823,sympathetically dark side,1,Happy
824,retard big breast,1,
825,honestly favorite part,1,Happy
826,yet bomb squad,1,
827,aside major concern,1,Sad
828,silly demon suit,1,Fear
829,quite bad movie,1,Sad
830,however bright spot,1,Happy
831,occasionally good story,1,Happy
832,handedly entire network,1,Fear
833,presumably young child,1,
834,instead horrible experience,1,Fear
835,either wwii aviation,1,
836,even decent movie,1,Surprise
837,still flat work,1,Sad
838,particularly middle mission,1,
839,still alive participates,1,
840,instead archival footage,1,Fear
841,never small community,1,
842,slowly famous heist,1,
843,innuendo early connery,1,
844,probably involved screenplay,1,Fear
845,better positive point,1,Surprise
846,really upset love,1,Happy
847,well dino moment,1,Fear
848,past good adult,1,Happy
849,scorpio notorious exploitation,1,
850,cheery pharmaceutical salesman,1,Happy
851,police murderous maniac,1,Angry
852,soon learn honeymoon,1,
853,also inept narration,1,
854,okay great film,1,Happy
855,quite silly time,1,Fear
856,definitely last gasp,1,Surprise
857,completely sick end,1,Sad
858,well short time,1,Angry
859,really give side,1,Surprise
860,dig right flashy,1,Fear
861,meanwhile new level,1,
862,fairly guess end,1,Surprise
863,pretty good comparison,1,Happy
864,potentially good movie,1,Happy
865,lucia el sexo,1,
866,extremely ambitious julio,1,
867,deeply related blurring,1,Sad
868,incredibly vague manner,1,Fear
869,later brilliant heartfelt,1,Happy
870,together floyd feel,1,
871,also strong point,1,Happy
872,probably many night,1,Fear
873,permanently type cast,1,Fear
874,pretty shonky round,1,Happy
875,better amnesiac fare,1,Surprise
876,doe oddball cast,1,
877,highly entertaining noir,1,Sad
878,completely accurate representation,1,Fear
879,truly shine star,1,
880,apatow previous effort,1,
881,unfortunately basic premise,1,Sad
882,really uninspired phone,1,Surprise
883,forever unrealistic way,1,
884,moderately successful horror,1,Surprise
885,psychotically creative lack,1,
886,unwisely chose base,1,Sad
887,mostly simple fact,1,Fear
888,back smug arrogant,1,Happy
889,quite artist result,1,
890,thereafter angry racist,1,Angry
891,unintentionally laughable darn,1,
892,else sure provide,1,Fear
893,long good friday,3,Happy
894,together dramatic introduction,1,
895,slightly harold shand,1,
896,also u use,1,
897,really kick path,1,Surprise
898,apart amongst terror,1,Fear
899,extremely disappointing jamie,1,Sad
900,really dead ric,1,Surprise
901,molly trish woman,1,
902,tree hilarious show,1,Happy
903,later romantic ha,1,Happy
904,also good match,1,Happy
905,video many year,1,
906,back enjoy ride,2,Happy
907,pretty much way,1,Happy
908,really special effect,2,Surprise
909,nearly compelling let,1,Sad
910,maybe write screenplay,1,
911,necronomicon evil book,1,
912,surprisingly terrible act,1,Fear
913,wa horrible monster,1,Fear
914,quite effective look,1,
915,somewhat homophobic line,1,Surprise
916,completely enjoyed everything,1,Happy
917,teacher high school,2,Fear
918,even marvellous composer,1,Surprise
919,really rest cardboard,1,Surprise
920,blissfully bridge teach,1,Sad
921,dy meanwhile manages,1,Fear
922,junkyard right drowns,1,Fear
923,sister realizes something,1,
924,clearly mere inconvenience,1,
925,always soft spot,2,Sad
926,paris australia course,1,
927,yet dvd understand,1,
928,better real hell,1,Surprise
929,billy mumy peter,1,
930,namely doyle story,1,Fear
931,lodger murderous husband,1,Angry
932,boy full length,1,
933,alone cinematic appearance,1,Sad
934,paris high speed,1,Fear
935,really fast car,1,Surprise
936,driver seat world,1,
937,truly suck interview,1,
938,pretty much explains,1,Happy
939,really redeem movie,1,Surprise
