,aspects,frequency,emotions
380,shamble beginning story,1,Sad
381,boring acting mediocre,1,Sad
382,perfect casting actor,1,Sad
383,wa amazed writing,1,Surprise
384,great directing script,1,Happy
385,win supporting picture,1,
386,full hidden tension,1,Angry
387,bad acting guess,1,Surprise
388,young screwing whore,1,
389,realistic feigned joy,1,
390,novella stretching entail,1,Fear
391,poor educated performance,1,
392,soppy love scene,1,Happy
393,humour watched face,1,Surprise
394,bad come anything,1,Sad
395,wednesday december video,1,
396,originality left genre,1,
397,isabelle played viewer,1,Fear
398,sad thinking kid,1,Happy
399,worth watching pile,1,Fear
400,wrong based book,1,Sad
401,guy robbing harry,1,Fear
402,positiveness coming ha,1,Surprise
403,endure shining light,1,
404,touch proceeding effect,1,Surprise
405,original watched mtv,1,Surprise
406,bad resulting lack,1,Sad
407,extraordinary set piece,1,Happy
408,u guessing joe,1,Surprise
409,resent dragged kind,1,Happy
410,second learning lance,1,
411,costume fitting shop,1,Happy
412,french made pepe,1,Sad
413,hot suggest anyone,1,Sad
414,racial took shot,1,Surprise
415,bizarre haunted house,1,
416,dad watching movie,1,Surprise
417,convinced scheming way,1,
418,large screeching survivor,1,
419,bunch enjoyed child,1,Happy
420,accomplish shared goal,1,
421,li ming wen,1,
422,hard hearted guy,1,Angry
423,pillow culminating moment,1,Fear
424,awful made tv,1,Sad
425,many thread briefly,1,
426,strong unflinching tone,1,Happy
427,general dwelling area,1,
428,wilderness longing look,1,Fear
429,early following heroic,1,Fear
430,narrative telling story,1,Sad
431,big kicking everyone,1,Surprise
432,neeson played sir,1,Fear
433,accurate retelling story,1,
434,next blessed salvation,1,Happy
435,enjoyable stapling ball,1,Happy
436,wonderful supporting cast,1,Surprise
437,low budgeted indie,1,Sad
438,michael bobby compensates,1,
439,usual found anyone,1,
440,mechanic moving body,1,
441,content drawing class,1,Fear
442,scene trying work,1,Fear
443,first saw everything,1,Surprise
444,conscious making process,1,Sad
445,absolute saving grace,1,Sad
446,christian delivered anything,1,
447,save start drug,1,
448,aaron spelling joe,1,
449,many lingering suspicion,1,Fear
450,guy getting college,1,Fear
451,gross lifted obscurity,1,Sad
452,rough handling wa,1,Sad
453,booze mooning portrait,1,
454,polish make film,1,Sad
455,creepy disturbing moment,1,Fear
456,whole kept foot,1,Fear
457,perfect acting job,1,Sad
458,worthwhile viewing experience,1,
459,fit returning home,1,Happy
460,entire say drivel,1,Surprise
461,usual befuddled serf,1,
462,high paying job,3,Fear
463,sense seeing tell,1,Sad
464,rendezvous dilapidated remains,1,
465,concentration met story,1,
466,crazy dubbing doe,1,Fear
467,hard sorting voice,1,Angry
468,bad getting oscar,1,Sad
469,key making relationship,1,Sad
470,overt love sex,1,Happy
471,average kicking coal,1,Surprise
472,due limited budget,1,Surprise
473,latunsky reproaching movie,1,
474,u accepting makeshift,1,
475,essential viewing anybody,1,
476,overall expect eat,1,Happy
477,graphic stunning bahamut,1,Surprise
478,davis running role,1,
479,second made director,1,Surprise
480,universal gill man,1,
481,material censored marins,1,Fear
482,technical shortcoming mention,1,
483,whole overeating thing,1,Surprise
484,unusual seeing psychology,1,
485,cold blooded killer,1,Surprise
486,first say wa,1,Surprise
487,u laughing gut,1,Sad
488,u start home,1,Sad
489,sheep hanging branch,1,Fear
490,implausible pairing quincy,1,
491,bad made people,1,Sad
492,sure spinning graf,1,Fear
493,bad lost reviewer,1,Sad
494,come including oscar,1,
495,wary leading prosecutor,1,
496,helpful establish root,1,Fear
497,novel written evan,1,Fear
498,excellent lighting photography,1,Happy
499,wooden recommend anyone,1,
500,stupendous set william,1,Surprise
501,double kept face,1,
502,nice see war,1,Happy
503,late trying figure,1,Sad
504,nathan rising fame,1,
505,liked seeing crispin,1,
506,noteworthy acting kudos,1,
507,local brought prisoner,1,Sad
508,end lazing beach,1,
509,lengthy keep attention,1,
510,unique improvising technique,1,Fear
511,many see movie,1,
512,ridiculous bugging viewer,1,Fear
513,tough drink beer,1,Fear
514,scary endearing spark,1,Happy
515,right gone age,1,Fear
516,caucasian carried disease,1,
517,fiddle married boyfriend,1,Fear
518,ambivalent renting video,1,Sad
519,previous trainspotting teenage,1,
520,idiotic annoying thing,1,Surprise
521,high pitched drone,1,Sad
522,warrior beheading eagle,1,
523,incident enacted brother,1,Surprise
524,true seeing saw,1,
525,abysmal say day,1,Happy
526,north rolling grave,1,
527,good made movie,1,Happy
528,hear seen time,1,
529,slow moving part,1,
530,old make sense,1,Sad
531,terrible seeing people,1,Fear
532,hilarious make impression,1,Happy
533,tendency make show,1,Sad
534,slow compared others,1,
535,mumy twilight zone,1,
536,small farming town,1,Sad
537,disappear see woman,1,
538,finish ekeing existence,1,
539,poor fractured continuity,1,
540,commitment acting role,1,
541,minute watching wa,1,Surprise
542,worth watching bethany,1,Surprise
543,hair make comeback,1,Surprise
544,floppy speaking story,1,Fear
545,android created fight,1,Sad
546,lucky blotted experience,1,Happy
547,american tended judge,1,
548,many monster takeover,1,
549,much trying use,1,
550,stop talking mention,1,
551,realistic done action,1,Fear
552,static wrapped confusion,1,Fear
553,occupant vying attention,1,
554,human balanced comparison,1,Fear
555,old fashioned romance,1,
556,several tugged heart,1,Sad
557,puppy cowering beneath,1,
558,bad acting action,1,Sad
559,turned missing ha,1,Surprise
560,cheap teetotalling boor,1,
561,tired want divorce,1,
562,english speaking part,1,Fear
563,entire dominated career,1,Fear
564,outstanding carrying conviction,1,Happy
565,right wing type,1,Fear
566,stupid designed watch,1,Surprise
567,guilty trying play,1,Happy
568,glorified riding mower,1,
569,different shared experience,1,
570,main involving spike,1,Fear
571,humorous reading adult,1,Happy
572,public want blow,1,Surprise
573,human making decision,1,Sad
574,big computing hulk,1,
575,good concerned leader,1,Happy
576,fault look line,1,Fear
577,racist overlook racism,1,
578,admirable charming con,1,Happy
579,relevant viewing experience,1,
580,overhead creating ethereal,1,
581,unemployed need money,1,
582,inane writing tell,1,Sad
583,young concerned infatuation,1,Happy
584,gray gutted monolith,1,Sad
585,rambo shooting turk,1,
586,worth seeing entry,1,Fear
587,mere love interest,1,Happy
588,popular gave background,1,Fear
589,new forthcoming sequel,1,
590,ridiculous take world,1,
591,confident cunning crook,1,Sad
592,dead buried john,1,
593,great got get,1,Happy
594,leg hanging edge,1,Sad
595,worthy seeing appreciate,1,Happy
596,much directed nature,1,Fear
597,bad supporting cast,1,Sad
598,gruesome bought dollar,1,
599,u noticing flow,1,Fear
600,present supporting john,1,
601,include stabbing heart,1,Sad
602,spare feeling fact,1,Sad
603,twister blown landscape,1,Surprise
604,child play series,1,Fear
605,unbelievable looking oscar,1,
606,guilty saving marriage,1,Happy
607,literary made television,1,Sad
608,equitable hiring practice,1,
609,open minded viewer,1,Surprise
610,young remind humanity,1,
611,suppose make laugh,1,Sad
612,new take character,1,Fear
613,strange glowing spot,1,Angry
614,ellen dunning find,1,Angry
615,throw annoying dream,1,Sad
616,human sized proportion,1,
617,good stop motion,1,Happy
618,impossible linking guy,2,
619,long saw spot,1,Fear
620,sign arostook county,1,Fear
621,classic come disney,1,
622,french setting character,1,Fear
623,previous outing satya,1,Angry
624,dull got clichés,1,Sad
625,selfish fighting agenda,1,Sad
626,mean love story,1,Happy
627,short called ghost,1,Angry
628,loose terrorizing street,1,Sad
629,similarity watching tv,1,Surprise
630,understand brought land,1,Sad
631,complete kirk douglas,1,
632,former say accident,1,Surprise
633,good keep hanky,1,Happy
634,clear beginning director,1,Surprise
635,bad writing case,1,Sad
636,lousy editing story,1,Angry
637,mess directed brett,1,Angry
638,nice supporting role,1,Happy
639,laughable considering ha,1,Sad
640,attendant floyed rance,1,
641,cameo asking filler,1,Fear
642,pty orsi recall,1,
643,contaminated thinking process,1,Surprise
644,major partied way,1,
645,happy find name,1,Happy
646,original complicated becomes,1,Fear
647,effective jaded cue,1,Sad
648,poor misguided blame,1,
649,successful calling nigger,1,
650,dreadful acting group,1,Surprise
651,mr bunting take,1,
652,odd liking daughter,1,
653,worth seeing see,1,Fear
654,long boring favourite,1,Happy
655,specific stylized recall,1,
656,enjoyed seeing misfit,1,Happy
657,overall trying show,1,
658,major sexualised year,1,
659,forgotten took moment,1,Angry
660,obvious wanted save,1,
661,actress played sister,1,Fear
662,want entertained change,1,
663,see hardworking cop,1,Happy
664,plug deserved broadsheet,1,
665,frog climbing car,1,Surprise
666,scandalous published something,1,Sad
667,cop searching killer,1,
668,able find way,1,
669,brilliant make effect,1,Happy
670,dramatic gripping moment,1,Fear
671,hilarious go confrontation,1,Happy
672,extra smiling bomb,1,Happy
673,wish saw action,1,Fear
674,much considering horror,1,Surprise
675,upset hating everything,1,Sad
676,busy making oscar,1,Sad
677,lucky charming guy,1,Happy
678,straw lost ticket,1,Sad
679,hysterical mumbled something,1,Fear
680,expensive generating wealth,1,
681,worth watching briefly,1,Surprise
682,bad making waste,1,Sad
683,negative collected insurance,1,Sad
684,wrong love diego,1,Happy
685,bad waiting end,1,Surprise
686,star born idea,1,Sad
687,ruth etting performer,1,
688,dread mounting paranoia,1,Fear
689,acceptable forced ponder,1,Happy
690,weak said anybody,1,Surprise
691,worth seeing example,1,Fear
692,perspective informed knowledge,1,
693,metal hanging hole,1,Sad
694,reveal started way,1,Surprise
695,impressive acting plot,1,Happy
696,major lasted till,1,
697,aware passing time,1,Sad
698,nazi loving teacher,1,Happy
699,brilliant considering craig,1,Happy
700,ninth give show,1,Fear
701,watched riding horse,1,Surprise
702,girl make watch,1,Surprise
703,much talked sex,1,
704,bright opening moment,1,Fear
705,sacrifice ending work,1,Fear
706,lady committing crime,1,Sad
707,fuss transforming shtick,1,Sad
708,whole healed movie,1,Fear
709,unwatchable featuring melanie,1,
710,western watched dozen,1,Surprise
711,whole written viewpoint,1,Fear
712,good say film,1,Happy
713,hard keep track,2,Angry
714,red hunting member,1,Angry
715,unnecessary added plot,1,Sad
716,loot think money,1,Surprise
717,unanswered giving hint,1,Fear
718,insofar consider philosopher,1,Sad
719,good mildred pierce,1,Happy
720,open find nothing,1,Fear
721,genetic mutated monster,1,
722,overall make sense,1,Sad
723,vary thought music,1,Surprise
724,incredible melting man,1,Surprise
725,conceive shocking convey,1,Surprise
726,white zoomed fx,1,Fear
727,old asked question,1,Fear
728,potential think boat,1,Surprise
729,outstanding supporting cast,1,Happy
730,imagery known jar,1,
731,floppy eared moron,1,
732,stuff think trouble,1,Angry
733,tempo keep hip,1,
734,successful changing mind,1,Surprise
735,new compared gore,1,
736,guy enjoyed starship,1,Happy
737,stick telling see,1,Sad
738,gaffe lacking education,1,
739,interested attracted decides,1,Happy
740,significant shortcoming script,1,Happy
741,co wrote movie,1,
742,roosevelt became president,1,
743,sad washed actor,1,Sad
744,principal signed location,1,Fear
745,great supporting actor,1,Happy
746,knight shining armor,1,
747,girl return home,1,Surprise
748,excellent popping bounce,1,Happy
749,young watching tell,1,Surprise
750,final filmed performance,1,Fear
751,know humming title,1,Fear
752,unwatchable set poverty,1,Fear
753,laughable hackneyed play,1,Fear
754,good know road,1,Happy
755,incestuous feeling towards,1,
756,important picturized term,1,Happy
757,possible going family,1,Surprise
758,lengthy depressing gay,1,Happy
759,male love scene,1,Happy
760,john singing rock,1,
761,visual done dialogue,1,
762,flick including funhouse,1,
763,classic taking element,1,Surprise
764,criminal played christopher,1,Sad
765,brilliant see people,1,Happy
766,much make sense,1,Sad
767,critic tend jump,1,Surprise
768,relied blowing addition,1,Surprise
769,different take return,1,
770,plenty stealing acrobatics,1,Surprise
771,america consider anything,1,Sad
772,red headed girl,1,Angry
773,akin naked prey,1,
774,duncan involved train,1,Fear
775,much stolen jewelry,1,Surprise
776,le convincing see,1,
777,obvious committed technique,1,Fear
778,ambiguous ending ditch,1,Fear
779,weird sounding plot,1,
780,conventional making quality,1,Sad
781,human taking honey,1,Surprise
782,first loved song,1,Happy
783,bad acting cast,1,Sad
784,hokey watered scene,2,Sad
785,middle suave conman,1,
786,cameo make scream,1,Sad
787,good looking version,1,Happy
788,stunk acting movie,1,Sad
789,fight sat watch,1,Surprise
790,minute trying figure,1,
791,bad said wa,1,Surprise
792,psychotic shown end,1,
793,shot make sense,1,Sad
794,great stand end,1,Happy
795,understood trying portray,1,
796,america facing enemy,1,Angry
797,main supporting character,1,Fear
798,high pitched whoop,1,Fear
799,last scored coup,1,Angry
800,second sold day,1,Happy
801,frantic lost friend,1,Happy
802,wish perished feel,1,
803,le told death,1,Sad
804,middle ending none,1,Fear
805,update darling detail,1,
806,deep abandoned salt,1,Fear
807,good acting scene,1,Happy
808,blend changeling bit,1,
809,actual presented case,1,
810,bad anticipated pretty,1,Happy
811,big staged epic,1,
812,fist wielding way,1,Angry
813,natural born killer,7,Sad
814,enjoy recommend fan,1,Happy
815,understandable fitting minute,1,Happy
816,prophetic critiquing way,1,Surprise
817,unannounced claiming need,1,Surprise
818,ready give halfway,1,Happy
819,clever amusing place,1,Fear
820,bad encouraged sign,1,Sad
821,nastiness come quality,1,
822,subject considered perspective,1,Sad
823,hospital end none,1,
824,untied dressing gown,1,
825,end say mind,1,Surprise
826,bad acting rock,1,Sad
827,shiny coupled building,1,Fear
828,push working beauty,1,Fear
829,shot panning roadside,1,Sad
830,pro done work,1,Fear
831,much take place,2,Fear
832,little coming toilet,1,Surprise
833,colorful filming location,1,
834,avoided asking friendliness,1,Happy
835,key take lot,1,Sad
836,quick assaulting sens,1,Angry
837,cant remember name,1,
838,vacuous boring incoherent,1,Sad
839,lumber jacking college,1,Sad
840,good eating deputy,1,Happy
841,loud making audience,1,Sad
842,new contradicting stuff,1,Angry
843,disastrous take look,1,Sad
844,unnecessary ruining farewell,1,Sad
845,big ending decides,1,Fear
846,immigrant working tourist,1,Fear
847,cheap looking movie,1,
848,dead wanting revenge,1,
849,interesting seen see,1,Happy
850,critic want tell,1,Sad
851,open minded attitude,1,Fear
852,sloppy improvised dialogue,1,
853,free padded silence,1,Happy
854,stunt grating mob,1,Angry
855,parallel weaving news,1,Fear
856,particular coming age,1,Angry
857,great supporting role,2,Happy
858,dead mummified body,1,
859,philosophical questioning eroticism,1,Sad
860,many following director,1,Surprise
861,beautiful experienced men,1,Happy
862,akin touting grass,1,
863,jaw dropping moment,1,Fear
864,awhile know director,1,Surprise
865,leaf gasping breath,1,Surprise
866,venomous acting storyline,1,Angry
867,happy drag someone,1,Happy
868,scenery chewing complement,1,Fear
869,linen laundering concession,1,
870,screen writing credit,1,Fear
871,raw opening look,1,Fear
872,funny viewing woman,1,Surprise
873,good take percent,1,Happy
874,new found cowboy,1,Fear
875,huge honking diamond,1,
876,suck stopped story,1,
877,old flying kick,1,Surprise
878,great set story,1,Happy
879,universal trying make,1,Sad
880,many rust bucket,1,
881,humphrey bogart show,1,
882,human leftwing prefer,1,Happy
883,staten island film,1,
884,choppy telegraphed suspense,1,
885,poor handling cast,1,
886,creep take place,1,Fear
887,sound written declaration,1,
888,cheap looking soundstage,1,
889,short running feature,1,Angry
890,minute ejected dvd,1,
891,specific finding wa,1,
892,vessel learning trick,1,Surprise
893,narrative leave taste,1,Happy
894,follow trying recreate,1,Happy
895,easy beheading scene,1,
896,logic ignored treatment,1,
897,sure qualify spoiler,1,Surprise
898,unexpected ending earth,1,Happy
899,shot built stage,1,Fear
900,old say experience,1,Surprise
901,north return wife,1,
902,old fashioned pulp,1,
903,digress wittering olympic,1,
904,horrible redeeming value,1,Fear
905,relevant engaging storyline,1,Fear
906,voodoo try skeleton,1,Sad
907,uncalled make person,1,Sad
908,footstep repeating word,1,Angry
909,comedienne supporting cast,1,
910,mary smiling sheila,1,Happy
911,pinocchio compelling science,1,Sad
912,directionless thought action,1,Surprise
913,third say star,1,Surprise
914,scan ordering pizza,1,
915,cheap set solution,1,Fear
916,fine tuning transform,1,Happy
917,senior delivering meal,1,
918,u glitch gold,1,
919,incessant lecturing vi,1,
920,shut existing carry,1,Angry
921,rip aspect material,1,
922,spent exploring relationship,1,
923,effective frightening thing,1,Surprise
924,overall accomplished task,1,
925,light hearted course,1,
926,asian decided watch,1,Surprise
927,english dubbing crew,1,
928,old aired dad,1,
929,graceful dancing skill,1,Happy
930,regular seem mind,1,Surprise
931,perfect make combination,1,Sad
932,stupid dancing cartoon,1,Fear
933,bear want lot,1,Sad
934,favorite went movie,1,Happy
935,wrong raging fan,1,Angry
936,left rolling eye,1,
937,asleep turning tv,1,Angry
938,worth watching fan,1,Surprise
939,direct directed olivier,1,Fear
940,original making characterization,1,Sad
941,young looking james,1,
942,gradual morphing company,1,
943,crew produce image,1,
944,smooth calling plan,1,
945,interested lasting impression,1,Happy
