,aspects_AVN,emotions
168,favorite aging france,Angry
169,,
170,,
171,,
172,,
173,,
174,,
175,,
176,mean intriguing story,Fear
177,,
178,,
179,,
180,human filmmaking ivashov,
181,,
182,,
183,,
184,low redeeming factor,Surprise
185,,
186,,
187,,
188,,
189,poor acting couple,
190,,
191,overwhelmed moved emotion,Sad
192,u made tv,Sad
193,angry watching shouldnt,Surprise
194,"whole tied day, real make laugh",Happy
195,,
196,,
197,"hard think fact, empty kicking food",Surprise
198,,
199,,
200,,
201,,
202,descendant appalled see,Surprise
203,,
204,,
205,"incorrect sending message, wrong keep girl",Surprise
206,evocative compelling today,Sad
207,,
208,,
209,,
210,"obvious miscasting slater, wa looking set",Fear
211,genius wrote amores,
212,fan thriller richard,
213,,
214,rid kidnapping life,Fear
215,,
216,"black made colombia, young leading actor",Sad
217,,
218,,
219,painful hope champion,Happy
220,left watching tactless,Surprise
221,"boyfriend take money, outstanding acting cast",
222,,
223,aka wedding weekend,
224,,
225,"predictable entertaining dr, captured held prisoner",
226,cartoonish spend half,
227,,
228,,
229,flick mindnumbing speed,
230,,
231,,
232,new bathing suit,
233,second saving grace,Sad
234,,
235,,
236,,
237,,
238,,
239,implausible say story,Surprise
240,,
241,"realistic looking effort, detected using enemy, single divided campaign, audio based voice, obvious recommend fan",Sad
242,"open hitching ride, plot keep people",
243,stylish killing spree,Surprise
244,"dern struggling actress, sure liked hell",
245,,
246,,
247,lousy writing manages,Fear
248,"amateurish editing crisp, frantic necking sex, serious called chick",Fear
249,old thought disney,Surprise
250,highlight running camera,
251,,
252,lazy eyed fat,
253,"painful listening moment, understatement say music",Surprise
254,original seen employment,
255,"animal howling beast, open rotten head, save decay death, interior crushed silhouette, notorious wielding leatherface, great basking insanity",Fear
256,,
257,,
258,"girl want friend, limited give name",Happy
259,skip watching tv,Surprise
260,,
261,couple spend minute,
262,,
263,,
264,"little say fact, macho playing border",Surprise
265,ready go relationship,
266,,
267,gorgeous supporting cast,
268,"insufficient lighting cliché, extreme using alcohol, second touching people",Sad
269,,
270,perspective think scene,Surprise
271,,
272,,
273,,
274,,
275,,
276,,
277,,
278,,
279,,
280,cheap keeping economy,Fear
281,,
282,,
283,,
284,,
285,,
286,old know care,
287,,
288,"sexual frustrated boy, obvious seemed reason, sappy made tv",Sad
289,,
290,mean expect van,Happy
291,,
292,,
293,,
294,stick take get,
295,,
296,,
297,big confusing mess,Angry
298,,
299,"hard come medium, empathy understand dialogue",
300,bad given something,Fear
301,,
302,"belief starring cody, stupid acting dreadful",Sad
303,warm amusing comedy,
304,"u expect bruce, plaza held party",Happy
305,,
306,girl acting till,
307,,
308,,
309,outlasted took anybody,Surprise
310,,
311,,
312,great acting photography,
313,,
314,unbelievable supporting role,
315,remote setting character,Fear
316,fine setting action,Fear
317,poor dubbing proto,
318,,
319,,
320,,
321,,
322,,
323,,
324,,
325,"plenty warning sign, worth watching pleasure",Fear
326,right waking coma,
327,,
328,,
329,curious got wa,
330,many believed others,
331,,
332,,
333,,
334,"important allied mission, shot happening miniature, wa lightning video",
335,hey make movie,Sad
336,regular expected space,Happy
337,"detective come show, criminal using trick",Surprise
338,,
339,small budgeted movie,
340,,
341,,
342,warrior running joke,Happy
343,,
344,"first admit ha, complete dubbing string",Sad
345,,
346,familiar including lothaire,
347,,
348,,
349,ha edited director,Surprise
350,"possible asserted backdrop, much maligned decide",Fear
351,,
352,,
353,beautiful involving game,Fear
354,"little take timing, captured disagree anyone, good think movie",Surprise
355,,
356,,
357,"narrative winning photography, ralph pushing daisy",Fear
358,,
359,many hold fawlty,
360,,
361,,
362,,
363,,
364,,
365,sick opening scene,Fear
366,permanent recording medium,
367,,
368,,
369,,
370,,
371,hard develop character,Fear
372,latitude enjoyed recommend,Happy
373,successful making part,Sad
374,worth watching recommend,Surprise
375,,
376,,
377,,
378,"hard believe wa, soft porn version",Surprise
379,,
380,,
381,worth forgiving director,Surprise
382,impressed rated movie,
383,favorite supporting role,
384,,
385,"good growing job, perfect want work, wish born backwards",Fear
386,funny aimed adult,
387,,
388,"powerful calculating army, open standing shot",Fear
389,,
390,dog wearing mop,Sad
391,,
392,"wa boating accident, intelligent provoking direction",Angry
393,"minute ending sh, orgiastic induced state",Sad
394,beautiful landscaping serve,
395,dumb ending plain,Fear
396,,
397,,
398,ha living rock,
399,,
400,,
401,,
402,fantastic moving julie,
403,,
404,"certain reading write, old fashioned recitation",
405,,
406,,
407,"many encounter outlaw, meet arriving town, much filmed technicolor",Sad
408,,
409,terrible moving way,
410,powerful moving ha,
411,frustrated picking nut,
412,birthday go home,Sad
413,able take eye,
414,highlight recommend anyone,
415,,
416,,
417,,
418,,
419,,
420,strong supporting cast,
421,,
422,straight filming speed,
423,,
424,strange annoying computer,Sad
425,,
426,"non acting actor, beautiful looking film",
427,,
428,"adequate acting performance, smart showing assignment, ingenious dared idea",Fear
429,,
430,close achieving anything,
431,"spite emerging technology, abominable shining moment",Fear
432,,
433,dr strangelove caricature,
434,nonsensical acting direction,
435,,
436,suspenseful trying maneuver,
437,,
438,modern remake catch,
439,"intellectual taking account, bizarre casting decision, hysterical dragged seem, fit interviewed asks",Fear
440,,
441,,
442,wrong happening thing,Surprise
443,,
444,impossible splatting gun,
445,flat retarded zombie,
446,,
447,,
448,,
449,great working dull,Sad
450,,
451,,
452,,
453,,
454,,
455,,
456,first make lame,Sad
457,"steady plodding feeling, gritty entertaining relationship",
458,good going watch,Surprise
459,,
460,,
461,,
462,,
463,,
464,"successful capturing tedium, highlight supporting role",Happy
465,cocky take hell,
466,individual acting performance,
467,,
468,first airing pilot,
469,picture bought drove,Fear
470,,
471,wrong haunting tale,
472,,
473,,
474,,
475,,
476,slow took day,Happy
477,,
478,,
479,,
480,sophisticated take philip,
481,first viewing carl,
482,hard believe dr,
483,bad acting character,Fear
484,"noticeable increased use, non thinking mtv",Surprise
485,young trained war,
486,,
487,secret hiding everyone,Angry
488,wa banned video,Sad
489,,
490,,
491,,
492,dull characterised stuff,Angry
493,,
494,,
495,sundry collecting head,Fear
496,,
497,,
498,interchangable saying line,Surprise
499,,
500,,
501,,
502,,
503,big moving space,
504,,
505,,
506,,
507,,
508,,
509,lsd recording reaction,
510,boy played son,Fear
511,,
512,forgivable glaring example,
513,special started watch,Surprise
514,,
515,bad acting believe,
516,fabulous costuming dig,
517,,
518,,
519,ok made super,Sad
520,fine acting captivating,Happy
521,,
522,spear went everyone,Fear
523,,
524,,
525,,
526,,
527,strong supporting cast,
528,,
529,,
530,impeccable timing end,
531,poor cared result,Sad
532,,
533,,
534,,
535,"poor get phone, second say cook, come take seat, guilty ruined everyone",Surprise
536,,
537,,
538,,
539,,
540,,
541,,
542,,
543,,
544,bad stay air,Angry
545,,
546,,
547,,
548,middle aged men,Angry
549,,
550,,
551,,
552,ambiguous suggesting losing,Sad
553,rpg remember day,Happy
554,"previous answered yes, enough leave audience, easy identify someone",Happy
555,,
556,leigh filling flight,Fear
557,,
558,different sharing music,
559,,
560,,
561,,
562,,
563,,
564,,
565,,
566,,
567,"different involving teen, modern lost nihilism",Angry
568,,
569,,
570,,
571,,
572,"diary lost story, happy ending guy",Sad
573,,
574,,
575,,
576,,
577,"funny laughed harder, agador trying toss",Sad
578,,
579,,
580,,
581,,
582,bad watching xxx,Surprise
583,,
584,deep depressing end,Sad
585,"mysterious cursed tree, poor flawed execution, terrible messed story",Angry
586,"sandy conforming bird, nostalgic became star",Angry
587,american grew country,
588,hard see resemblance,
589,,
590,derivative remember thing,Surprise
591,,
592,tool look nothing,
593,"bad left use, commentary reeling plot",
594,,
595,minor chosen lead,
596,hard believe people,
597,,
598,main setting place,Fear
599,obvious tiring hero,
600,,
601,,
602,dismiss steered fence,
603,,
604,,
605,,
606,,
607,,
608,,
609,,
610,,
611,,
612,tough minded actor,Surprise
613,,
614,,
615,sweet caring guy,Sad
616,excellent supporting cast,
617,worth viewing nothing,
618,spectacular directed person,Fear
619,,
620,"shamble beginning story, boring acting mediocre",
621,perfect casting actor,
622,"wa amazed writing, great directing script",Surprise
623,,
624,,
625,,
626,win supporting picture,
627,,
628,,
629,full hidden tension,Angry
630,bad acting guess,Surprise
631,,
632,,
633,,
634,,
635,,
636,,
637,,
638,,
639,"young screwing whore, realistic feigned joy",
640,novella stretching entail,Fear
641,,
642,,
643,poor educated performance,
644,,
645,,
646,,
647,,
648,,
649,,
650,,
651,,
652,"soppy love scene, humour watched face, bad come anything",Happy
653,,
654,,
655,,
656,wednesday december video,
657,"originality left genre, isabelle played viewer",Fear
658,sad thinking kid,Happy
659,,
660,worth watching pile,Surprise
661,"wrong based book, guy robbing harry",Sad
662,,
663,,
664,,
665,,
666,"positiveness coming ha, endure shining light, touch proceeding effect",Surprise
667,,
668,original watched mtv,Surprise
669,bad resulting lack,
670,,
671,,
672,,
673,,
674,,
675,,
676,"extraordinary set piece, u guessing joe",Surprise
677,,
678,,
679,resent dragged kind,Happy
680,"second learning lance, costume fitting shop, french made pepe",Happy
681,,
682,,
683,,
684,hot suggest anyone,
685,racial took shot,Surprise
686,,
687,bizarre haunted house,
688,,
689,"dad watching movie, convinced scheming way, large screeching survivor, bunch enjoyed child",Happy
690,"accomplish shared goal, li ming wen",
691,,
692,,
693,hard hearted guy,
694,,
695,pillow culminating moment,Fear
696,,
697,awful made tv,Sad
698,,
699,,
700,,
701,,
702,many thread briefly,
703,strong unflinching tone,Fear
704,,
705,,
706,,
707,"general dwelling area, wilderness longing look, early following heroic",Fear
708,,
709,,
710,narrative telling story,Sad
711,,
712,big kicking everyone,Surprise
713,neeson played sir,Fear
714,,
715,,
716,,
717,accurate retelling story,
718,next blessed salvation,Happy
719,,
720,,
721,enjoyable stapling ball,
722,,
723,wonderful supporting cast,
724,,
725,,
726,"low budgeted indie, michael bobby compensates",
727,usual found anyone,
728,mechanic moving body,
729,content drawing class,Surprise
730,,
731,scene trying work,Fear
732,,
733,"first saw everything, conscious making process",Sad
734,"absolute saving grace, christian delivered anything",Sad
735,save start drug,
736,aaron spelling joe,
737,"many lingering suspicion, guy getting college",Fear
738,,
739,,
740,,
741,"gross lifted obscurity, rough handling wa, booze mooning portrait, polish make film",Sad
742,,
743,,
744,"creepy disturbing moment, whole kept foot, perfect acting job, worthwhile viewing experience",Fear
745,,
746,fit returning home,Sad
747,,
748,,
749,,
750,,
751,entire say drivel,Surprise
752,usual befuddled serf,
753,"high paying job, sense seeing tell",Sad
754,"rendezvous dilapidated remains, concentration met story, crazy dubbing doe",
755,,
756,,
757,,
758,,
759,,
760,"hard sorting voice, bad getting oscar",Fear
761,key making relationship,Sad
762,overt love sex,Happy
763,,
764,,
765,,
766,average kicking coal,Surprise
767,,
768,due limited budget,Surprise
769,,
770,latunsky reproaching movie,
771,"u accepting makeshift, essential viewing anybody",
772,,
773,,
774,,
775,overall expect eat,Happy
776,,
777,,
778,,
779,,
780,graphic stunning bahamut,Surprise
781,,
782,"davis running role, second made director",Surprise
783,universal gill man,
784,"material censored marins, technical shortcoming mention",Fear
785,"whole overeating thing, unusual seeing psychology",Surprise
786,cold blooded killer,
787,,
788,,
789,first say wa,Surprise
790,,
791,,
792,u laughing gut,Sad
793,u start home,Sad
794,,
795,,
796,sheep hanging branch,Fear
797,,
798,,
799,,
800,,
801,,
802,,
803,implausible pairing quincy,
804,,
805,,
806,,
807,"bad made people, sure spinning graf",Sad
808,,
809,bad lost reviewer,Sad
810,,
811,,
812,"come including oscar, wary leading prosecutor, helpful establish root",Fear
813,"novel written evan, excellent lighting photography",
814,,
815,,
816,wooden recommend anyone,
817,,
818,,
819,,
820,stupendous set william,Fear
821,double kept face,
822,nice see war,
823,,
824,"late trying figure, nathan rising fame",
825,,
826,,
827,,
828,"liked seeing crispin, noteworthy acting kudos",
829,,
830,,
831,,
832,local brought prisoner,Sad
833,end lazing beach,
834,,
835,,
836,,
837,,
838,,
839,,
840,,
841,,
842,lengthy keep attention,
843,unique improvising technique,Fear
844,,
845,"many see movie, ridiculous bugging viewer",Fear
846,tough drink beer,
847,scary endearing spark,Happy
848,,
849,,
850,"right gone age, caucasian carried disease",Angry
851,fiddle married boyfriend,
852,,
853,"ambivalent renting video, previous trainspotting teenage",
854,,
855,,
856,,
857,,
858,,
859,"idiotic annoying thing, high pitched drone, warrior beheading eagle, incident enacted brother",Surprise
860,true seeing saw,
861,,
862,,
863,,
864,"abysmal say day, north rolling grave",Happy
865,good made movie,Sad
866,,
867,,
868,,
869,,
870,hear seen time,
871,,
872,,
873,"slow moving part, old make sense",Sad
874,terrible seeing people,
875,,
876,,
877,,
878,hilarious make impression,Sad
879,"tendency make show, slow compared others, mumy twilight zone, small farming town, disappear see woman",Sad
880,,
881,,
882,,
883,"finish ekeing existence, poor fractured continuity",
884,,
885,commitment acting role,
886,,
887,minute watching wa,Surprise
888,worth watching bethany,Surprise
889,"hair make comeback, floppy speaking story, android created fight, lucky blotted experience",Sad
890,american tended judge,
891,many monster takeover,
892,,
893,,
894,"much trying use, stop talking mention",
895,realistic done action,Fear
896,,
897,,
898,,
899,static wrapped confusion,Fear
900,,
901,occupant vying attention,
902,,
903,,
904,,
905,,
906,human balanced comparison,Fear
907,"old fashioned romance, several tugged heart, puppy cowering beneath",Sad
908,,
909,,
910,bad acting action,Fear
911,,
912,,
913,,
914,,
915,,
916,,
917,,
918,,
919,"turned missing ha, cheap teetotalling boor, tired want divorce",Sad
920,"english speaking part, entire dominated career, outstanding carrying conviction, right wing type",Fear
921,,
922,,
923,stupid designed watch,Surprise
924,,
925,,
926,,
927,,
928,guilty trying play,Fear
929,glorified riding mower,
930,"different shared experience, main involving spike",Fear
931,,
932,humorous reading adult,
933,,
934,"public want blow, human making decision, big computing hulk, good concerned leader",Sad
935,,
936,fault look line,Fear
937,"racist overlook racism, admirable charming con",Happy
938,,
939,,
940,"relevant viewing experience, overhead creating ethereal",
941,"unemployed need money, inane writing tell",Sad
942,,
943,young concerned infatuation,Happy
944,,
945,,
946,,
947,gray gutted monolith,Sad
948,rambo shooting turk,
949,worth seeing entry,
950,"mere love interest, popular gave background, new forthcoming sequel, ridiculous take world",Happy
951,confident cunning crook,Sad
952,,
953,dead buried john,
954,,
955,,
956,,
957,great got get,
958,,
959,leg hanging edge,Sad
960,,
961,,
962,worthy seeing appreciate,Happy
963,,
964,,
965,,
966,,
967,,
968,,
969,"much directed nature, bad supporting cast",Fear
970,,
971,,
972,,
973,,
974,gruesome bought dollar,
975,,
976,,
977,,
978,"u noticing flow, present supporting john, include stabbing heart",Sad
979,"spare feeling fact, twister blown landscape",Surprise
980,,
981,,
982,,
983,"child play series, unbelievable looking oscar",Fear
984,guilty saving marriage,
985,,
986,,
987,,
988,,
989,,
990,,
991,literary made television,Sad
992,,
993,,
994,"equitable hiring practice, open minded viewer",Surprise
995,young remind humanity,
996,,
997,,
998,suppose make laugh,Sad
999,,
1000,,
1001,new take character,Fear
1002,,
1003,,
1004,"strange glowing spot, ellen dunning find, throw annoying dream, human sized proportion, good stop motion",Angry
1005,,
1006,,
1007,impossible linking guy,
1008,,
1009,,
1010,,
1011,,
1012,,
1013,long saw spot,Fear
1014,,
1015,sign arostook county,
1016,,
1017,"classic come disney, french setting character",Fear
1018,,
1019,,
1020,previous outing satya,Angry
1021,,
1022,,
1023,dull got clichés,
1024,"selfish fighting agenda, mean love story",Happy
1025,"short called ghost, loose terrorizing street",Sad
1026,similarity watching tv,Surprise
1027,,
1028,,
1029,,
1030,,
1031,understand brought land,Sad
1032,,
1033,,
1034,"complete kirk douglas, former say accident",Surprise
1035,good keep hanky,
1036,,
1037,clear beginning director,Surprise
1038,"bad writing case, lousy editing story",
1039,,
1040,"mess directed brett, nice supporting role",Fear
1041,"laughable considering ha, attendant floyed rance, cameo asking filler, pty orsi recall, contaminated thinking process",Surprise
1042,,
1043,,
1044,major partied way,
1045,happy find name,
1046,,
1047,,
1048,original complicated becomes,Fear
1049,effective jaded cue,Sad
1050,,
1051,"poor misguided blame, successful calling nigger",
1052,dreadful acting group,Surprise
1053,,
1054,,
1055,,
1056,,
1057,"mr bunting take, odd liking daughter, worth seeing see",
1058,,
1059,,
1060,,
1061,,
1062,long boring favourite,Happy
1063,,
1064,,
1065,specific stylized recall,
1066,"enjoyed seeing misfit, overall trying show",
1067,,
1068,major sexualised year,
1069,forgotten took moment,Surprise
1070,obvious wanted save,
1071,,
1072,,
1073,actress played sister,Fear
1074,,
1075,want entertained change,
1076,see hardworking cop,Happy
1077,,
1078,plug deserved broadsheet,
1079,,
1080,,
1081,frog climbing car,
1082,,
1083,,
1084,scandalous published something,
1085,"cop searching killer, able find way",
1086,brilliant make effect,Surprise
1087,,
1088,,
1089,,
1090,,
1091,,
1092,dramatic gripping moment,Fear
1093,hilarious go confrontation,
1094,,
1095,extra smiling bomb,Happy
1096,,
1097,,
1098,wish saw action,Fear
1099,,
1100,much considering horror,Surprise
1101,,
1102,,
1103,,
1104,"upset hating everything, busy making oscar",Sad
1105,lucky charming guy,Happy
1106,"straw lost ticket, hysterical mumbled something",Sad
1107,,
1108,,
1109,,
1110,expensive generating wealth,
1111,,
1112,,
1113,worth watching briefly,Surprise
1114,,
1115,"bad making waste, negative collected insurance",Sad
1116,"wrong love diego, bad waiting end",Happy
1117,"star born idea, ruth etting performer",Sad
1118,,
1119,"dread mounting paranoia, acceptable forced ponder",Fear
1120,,
1121,,
1122,weak said anybody,Surprise
1123,,
1124,,
1125,worth seeing example,
1126,,
1127,,
1128,"perspective informed knowledge, metal hanging hole, reveal started way",Sad
1129,"impressive acting plot, major lasted till",
1130,,
1131,aware passing time,
1132,nazi loving teacher,Happy
1133,"brilliant considering craig, ninth give show",Sad
1134,,
1135,,
1136,"watched riding horse, girl make watch",Surprise
1137,,
1138,much talked sex,
1139,bright opening moment,Fear
1140,,
1141,,
1142,,
1143,sacrifice ending work,Fear
1144,lady committing crime,Sad
1145,fuss transforming shtick,
1146,,
1147,,
1148,whole healed movie,
1149,unwatchable featuring melanie,
1150,"western watched dozen, whole written viewpoint",Surprise
1151,good say film,Surprise
1152,,
1153,,
1154,,
1155,hard keep track,
1156,,
1157,,
1158,red hunting member,Surprise
1159,,
1160,,
1161,unnecessary added plot,Sad
1162,,
1163,,
1164,,
1165,,
1166,"loot think money, unanswered giving hint",Surprise
1167,insofar consider philosopher,Sad
1168,good mildred pierce,
1169,,
1170,,
1171,,
1172,,
1173,,
1174,,
1175,,
1176,,
1177,,
1178,,
1179,"open find nothing, genetic mutated monster, overall make sense, vary thought music, incredible melting man",Surprise
1180,,
1181,,
1182,conceive shocking convey,Surprise
1183,,
1184,white zoomed fx,
1185,,
1186,,
1187,old asked question,Fear
1188,,
1189,potential think boat,Surprise
1190,,
1191,,
1192,,
1193,,
1194,outstanding supporting cast,
1195,,
1196,,
1197,,
1198,,
1199,,
1200,,
1201,"imagery known jar, floppy eared moron, stuff think trouble",Surprise
1202,,
1203,tempo keep hip,
1204,,
1205,,
1206,successful changing mind,Surprise
1207,new compared gore,
1208,,
1209,"guy enjoyed starship, stick telling see",Happy
1210,,
1211,gaffe lacking education,
1212,"interested attracted decides, significant shortcoming script",Fear
1213,,
1214,"co wrote movie, roosevelt became president",
1215,sad washed actor,Fear
1216,,
1217,,
1218,principal signed location,Fear
1219,,
1220,,
1221,"great supporting actor, knight shining armor",
1222,girl return home,Sad
1223,"excellent popping bounce, young watching tell",Surprise
1224,,
1225,"final filmed performance, know humming title",Fear
1226,"unwatchable set poverty, laughable hackneyed play, good know road",Fear
1227,,
1228,incestuous feeling towards,
1229,"important picturized term, possible going family",Surprise
1230,"lengthy depressing gay, male love scene",Happy
1231,,
1232,,
1233,,
1234,,
1235,john singing rock,
1236,visual done dialogue,
1237,,
1238,,
1239,,
1240,,
1241,"flick including funhouse, classic taking element",Surprise
1242,"criminal played christopher, brilliant see people",Fear
1243,much make sense,Sad
1244,,
1245,"critic tend jump, relied blowing addition",Surprise
1246,,
1247,different take return,
1248,plenty stealing acrobatics,Surprise
1249,america consider anything,Sad
1250,red headed girl,Surprise
1251,akin naked prey,
1252,,
1253,"duncan involved train, much stolen jewelry, le convincing see",Surprise
1254,,
1255,obvious committed technique,Fear
1256,,
1257,,
1258,,
1259,ambiguous ending ditch,Fear
1260,,
1261,"weird sounding plot, conventional making quality",Sad
1262,human taking honey,Surprise
1263,first loved song,Happy
1264,,
1265,bad acting cast,
1266,,
1267,hokey watered scene,Sad
1268,middle suave conman,
1269,,
1270,,
1271,cameo make scream,Sad
1272,good looking version,
1273,,
1274,,
1275,stunk acting movie,
1276,"fight sat watch, minute trying figure",Surprise
1277,,
1278,,
1279,,
1280,,
1281,,
1282,,
1283,bad said wa,Surprise
1284,,
1285,psychotic shown end,
1286,,
1287,"shot make sense, great stand end, understood trying portray",Sad
1288,"america facing enemy, main supporting character",Angry
1289,,
1290,high pitched whoop,Sad
1291,"last scored coup, second sold day",Happy
1292,,
1293,,
1294,,
1295,"frantic lost friend, wish perished feel",Happy
1296,,
1297,,
1298,le told death,Sad
1299,middle ending none,Fear
1300,,
1301,update darling detail,
1302,deep abandoned salt,Fear
1303,,
1304,,
1305,good acting scene,
1306,blend changeling bit,
1307,,
1308,actual presented case,
1309,,
1310,,
1311,bad anticipated pretty,Happy
1312,big staged epic,
1313,fist wielding way,
1314,"natural born killer, enjoy recommend fan",Sad
1315,understandable fitting minute,Happy
1316,,
1317,,
1318,,
1319,,
1320,prophetic critiquing way,Surprise
1321,,
1322,,
1323,,
1324,,
1325,unannounced claiming need,Surprise
1326,,
1327,"ready give halfway, clever amusing place",Fear
1328,"bad encouraged sign, nastiness come quality, subject considered perspective, hospital end none, untied dressing gown",Sad
1329,end say mind,Surprise
1330,bad acting rock,
1331,,
1332,,
1333,,
1334,shiny coupled building,Fear
1335,push working beauty,Happy
1336,,
1337,,
1338,shot panning roadside,Sad
1339,pro done work,Fear
1340,much take place,Fear
1341,little coming toilet,Surprise
1342,colorful filming location,
1343,avoided asking friendliness,Happy
1344,,
1345,,
1346,key take lot,Sad
1347,quick assaulting sens,
1348,cant remember name,
1349,vacuous boring incoherent,Sad
1350,,
1351,,
1352,lumber jacking college,Sad
1353,good eating deputy,Fear
1354,,
1355,"loud making audience, new contradicting stuff, disastrous take look, unnecessary ruining farewell",Sad
1356,big ending decides,Fear
1357,immigrant working tourist,Fear
1358,"cheap looking movie, dead wanting revenge",
1359,"interesting seen see, critic want tell",Sad
1360,,
1361,,
1362,"open minded attitude, sloppy improvised dialogue, free padded silence, stunt grating mob",Angry
1363,,
1364,,
1365,,
1366,,
1367,,
1368,,
1369,"parallel weaving news, particular coming age",Angry
1370,great supporting role,
1371,dead mummified body,
1372,"philosophical questioning eroticism, many following director",Surprise
1373,,
1374,,
1375,beautiful experienced men,
1376,akin touting grass,
1377,jaw dropping moment,Fear
1378,,
1379,,
1380,awhile know director,Surprise
1381,leaf gasping breath,Surprise
1382,,
1383,,
1384,"venomous acting storyline, happy drag someone",
1385,,
1386,,
1387,"scenery chewing complement, linen laundering concession",Fear
1388,,
1389,screen writing credit,Fear
1390,,
1391,,
1392,,
1393,,
1394,"raw opening look, funny viewing woman",Fear
1395,good take percent,
1396,new found cowboy,Fear
1397,,
1398,,
1399,,
1400,huge honking diamond,
1401,,
1402,suck stopped story,
1403,,
1404,,
1405,old flying kick,Surprise
1406,great set story,Fear
1407,,
1408,"universal trying make, many rust bucket",Sad
1409,,
1410,humphrey bogart show,
1411,,
1412,,
1413,,
1414,,
1415,human leftwing prefer,Happy
1416,,
1417,staten island film,
1418,,
1419,,
1420,"choppy telegraphed suspense, poor handling cast",
1421,creep take place,Fear
1422,"sound written declaration, cheap looking soundstage, short running feature",
1423,,
1424,minute ejected dvd,
1425,specific finding wa,
1426,,
1427,"vessel learning trick, narrative leave taste, follow trying recreate",Happy
1428,easy beheading scene,
1429,logic ignored treatment,
1430,,
1431,"sure qualify spoiler, unexpected ending earth",Surprise
1432,"shot built stage, old say experience",Fear
1433,north return wife,
1434,,
1435,old fashioned pulp,
1436,digress wittering olympic,
1437,,
1438,,
1439,"horrible redeeming value, relevant engaging storyline",Fear
1440,,
1441,,
1442,voodoo try skeleton,Sad
1443,"uncalled make person, footstep repeating word",Angry
1444,,
1445,,
1446,,
1447,,
1448,"comedienne supporting cast, mary smiling sheila",Happy
1449,,
1450,,
1451,pinocchio compelling science,Sad
